DRG_Cd,DRG_Desc,HH_Cases,HH_%,ESC_Cases,ESC_%,Nat_Cases,Nat_%,Diff_vs_Nat_%,Diff_vs_ESC_%,Ratio_vs_Nat
200,PNEUMOTHORAX WITH CC,22.0,0.23887079261672098,157.0,0.050352951741346186,2005,0.040484759053088744,0.19838603356363224,0.1885178408753748,5.900264647826688
202,BRONCHITIS AND ASTHMA WITH CC/MCC,33.0,0.3583061889250814,362.0,0.11610043649915491,10816,0.21839558798913108,0.13991060093595034,0.2422057524259265,1.6406292463330958
205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,20.0,0.21715526601520088,235.0,0.0753690678930978,4459,0.09003568110609611,0.12711958490910477,0.14178619812210308,2.411880082956331
206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,16.0,0.17372421281216072,47.0,0.01507381357861956,1679,0.03390219972575362,0.1398220130864071,0.15865039923354116,5.124275540155941
207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,19.0,0.2062975027144408,314.0,0.10070590348269237,4401,0.08886455091902422,0.11743295179541659,0.10559159923174843,2.3214825324715216
208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,30.0,0.32573289902280134,1572.0,0.5041709562891479,21835,0.4408901316330138,-0.11515723261021249,-0.17843805726634654,0.738807416297386
219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,25.0,0.2714440825190011,568.0,0.1821686406948066,12333,0.24902669995099427,0.02241738256800682,0.0892754418241945,1.0900199961386403
220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,29.0,0.31487513572204123,519.0,0.1664533882405011,8116,0.16387745859095673,0.1509976771310845,0.14842174748154013,1.9214060214832807
233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,29.0,0.31487513572204123,547.0,0.1754335325001042,6594,0.13314538713020807,0.18172974859183316,0.13944160322193702,2.3648970686015023
234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,42.0,0.4560260586319218,596.0,0.19114878495440973,5526,0.11158043816826353,0.3444456204636583,0.26487727367751207,4.086971391385232
235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,29.0,0.31487513572204123,764.0,0.24502965051202857,8759,0.1768608501476331,0.13801428557440815,0.06984548521001266,1.7803552083980254
236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,41.0,0.4451682953311618,1217.0,0.3903155558548937,12346,0.24928919464809657,0.19587910068306524,0.05485273947626812,1.7857504652761766
242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,31.0,0.33659066232356133,483.0,0.1549074884781542,9743,0.1967296795283011,0.13986098279526024,0.18168317384540714,1.7109297546288136
243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,39.0,0.4234527687296417,778.0,0.24951972264183014,14876,0.3003747010841637,0.12307806764547802,0.17393304608781157,1.4097484481923532
